V1,V2,V3,V4,V5,V6,V7,Class
3,0,10,2,23,13.15,33.62,1
1,20,0,22,8,8.25,41.34,1
1,19,0,20,10,10.05,32.02,1
4,10,15,9,26,11.05,32.57,1
4,16,6,17,30,24.02,44.38,1
6,10,42,12,24,18.11,43.68,1
0,0,0,0,13,13.0,41.76,1
0,0,0,0,13,13.0,40.85,1
3,0,24,1,48,24.02,52.39,1
1,19,0,20,15,15.03,53.85,1
2,0,24,18,24,18.0,58.82,1
2,0,24,25,17,25.96,49.74,1
5,2,45,14,52,13.89,56.46,1
5,2,23,24,26,22.2,35.38,1
4,10,21,8,46,25.08,47.07,1
1,10,0,12,7,7.28,41.76,1
1,10,0,12,6,6.32,26.83,1
4,24,20,1,38,29.21,44.94,1
0,0,0,0,20,20.0,49.66,1
1,25,0,26,11,11.05,40.46,1
3,0,17,1,38,21.02,44.94,1
0,0,0,0,16,16.0,47.17,1
5,1,13,5,22,9.85,26.0,1
3,0,14,2,35,21.1,38.08,1
3,0,6,1,21,15.03,32.02,1
1,11,0,13,12,12.17,43.01,1
6,4,48,19,40,17.0,52.39,1
0,0,0,0,20,20.0,40.85,1
4,13,11,15,30,19.1,37.16,1
3,0,10,13,23,18.38,32.53,1
3,0,24,2,30,6.32,30.59,1
2,0,6,21,10,21.38,36.62,1
4,22,15,23,33,18.03,40.22,1
6,4,37,19,31,16.16,42.06,1
3,0,21,2,27,6.32,45.19,1
0,0,0,0,7,7.0,38.83,1
5,2,22,17,29,16.55,34.99,1
1,6,0,6,7,7.0,25.0,1
2,0,6,20,10,20.4,32.02,1
2,0,25,10,11,17.2,55.9,1
0,0,0,0,14,14.0,33.24,1
0,0,0,0,7,7.0,38.6,1
0,0,0,0,18,18.0,44.64,1
0,0,0,0,17,17.0,29.53,1
4,22,15,20,36,21.1,56.46,1
3,0,15,1,23,8.06,25.5,1
1,10,0,12,6,6.32,26.83,1
1,8,0,9,18,18.03,34.21,1
0,0,0,0,13,13.0,35.9,1
1,9,0,9,17,17.0,38.08,1
3,0,13,2,35,22.09,35.9,1
2,0,20,18,16,18.44,45.19,1
4,14,12,8,27,16.16,30.41,1
1,18,0,18,24,24.0,58.82,1
0,0,0,0,19,19.0,49.74,1
1,6,0,6,13,13.0,30.59,1
6,8,35,8,29,6.0,35.9,1
3,0,17,5,37,20.62,38.08,1
3,0,21,2,27,6.32,45.19,1
2,0,16,10,15,10.05,32.57,1
0,0,0,0,24,24.0,33.24,1
0,0,0,0,11,11.0,35.38,1
5,0,26,24,21,24.52,35.38,1
4,19,8,8,42,35.74,46.1,1
5,0,33,1,33,1.0,47.17,1
2,0,16,23,21,23.54,39.2,1
1,13,0,14,26,26.02,48.38,1
0,0,0,0,24,24.0,52.39,1
6,9,31,18,17,16.64,36.36,1
1,9,0,9,17,17.0,38.08,1
1,12,0,13,11,11.05,37.16,1
4,7,24,5,37,13.15,37.66,1
2,0,21,15,24,15.3,35.34,1
6,13,29,15,28,2.24,33.62,1
2,0,10,13,7,13.34,30.87,1
3,0,22,2,29,7.28,42.06,1
4,27,9,23,26,17.46,37.48,1
0,0,0,0,24,24.0,47.01,1
1,23,0,23,14,14.0,32.53,1
1,24,0,24,12,12.0,35.38,1
4,12,7,12,21,14.0,44.64,1
1,7,0,8,18,18.03,33.24,1
6,4,48,19,40,17.0,52.39,1
2,0,24,20,16,21.54,52.39,1
5,0,26,24,21,24.52,35.38,1
4,20,11,22,22,11.18,43.05,1
4,7,24,5,37,13.15,37.66,1
4,12,18,4,27,12.04,29.55,1
2,0,24,12,8,20.0,33.24,1
1,7,0,7,7,7.0,37.66,1
2,0,19,10,13,11.66,33.53,1
1,11,0,12,7,7.07,44.64,1
5,1,17,21,35,26.91,40.82,1
5,0,20,27,24,27.29,36.12,1
5,1,17,21,35,26.91,40.82,1
0,0,0,0,10,10.0,36.12,1
1,19,0,21,14,14.14,49.66,1
3,0,20,0,37,17.0,43.05,1
2,0,9,10,7,10.2,30.46,1
6,1,33,25,40,25.0,47.17,1
4,14,12,0,21,16.64,25.24,1
0,0,0,0,19,19.0,42.54,1
3,0,24,1,41,17.03,52.39,1
4,8,18,9,32,14.04,33.24,1
4,22,7,22,31,24.0,38.83,1
6,5,22,9,24,4.47,26.0,1
2,0,22,9,9,15.81,51.79,1
4,14,26,15,38,12.04,48.38,1
0,0,0,0,13,13.0,35.9,1
5,1,21,18,25,17.46,32.02,1
1,16,0,18,16,16.12,45.19,1
4,19,8,8,42,35.74,46.1,1
3,0,12,2,29,17.12,33.11,1
3,0,17,6,26,10.82,29.53,1
1,21,0,22,6,6.08,49.24,1
4,12,7,12,21,14.0,41.76,1
1,12,0,14,21,21.1,29.53,1
1,20,0,21,26,26.02,52.39,1
2,0,25,22,6,29.07,49.24,1
5,1,34,6,40,7.81,41.76,1
3,0,9,2,23,14.14,30.46,1
3,0,10,0,26,16.0,45.79,1
1,20,0,22,14,14.14,35.38,1
4,14,11,12,30,19.1,33.11,1
0,0,0,0,12,12.0,40.5,1
1,16,0,18,11,11.18,34.99,1
1,24,0,26,18,18.11,42.8,1
2,0,11,9,9,9.22,28.46,1
0,0,0,0,7,7.0,38.6,1
3,0,6,2,12,6.32,36.62,1
3,0,16,0,33,17.0,47.17,1
4,22,15,23,33,18.03,40.22,1
4,6,7,7,24,17.03,25.0,1
3,0,12,8,27,17.0,30.41,1
4,10,7,12,28,21.1,30.46,1
4,25,12,25,29,17.0,43.01,1
0,0,0,0,14,14.0,39.81,1
4,24,14,23,39,25.02,45.79,1
