V1,V2,V3,V4,V5,V6,V7,Class
4,25,10,27,18,8.25,53.34,1
5,2,23,13,29,12.53,33.62,1
5,0,26,24,21,24.52,35.38,1
6,13,29,15,28,2.24,33.62,1
4,15,24,14,32,8.06,35.34,1
2,0,20,21,14,21.84,49.66,1
5,0,33,1,33,1.0,47.17,1
5,1,34,6,40,7.81,41.76,1
2,0,16,23,21,23.54,39.2,1
5,1,41,17,30,19.42,44.38,1
4,15,24,14,32,8.06,35.34,1
5,1,34,6,40,7.81,41.76,1
3,0,11,14,31,24.41,40.46,1
5,1,17,21,35,26.91,40.82,1
5,1,37,17,30,17.46,41.59,1
4,22,14,24,21,7.28,35.38,1
4,13,12,4,41,30.36,43.01,1
1,22,0,24,23,23.09,44.94,1
4,21,25,21,49,24.0,53.31,1
3,0,18,4,41,23.35,43.01,1
1,22,0,23,27,27.02,47.01,1
1,24,0,25,9,9.06,60.84,1
4,12,17,14,38,21.1,40.5,1
4,24,20,1,38,29.21,44.94,1
2,0,24,25,17,25.96,49.74,1
5,0,37,22,22,26.63,43.05,1
5,2,15,24,32,27.8,40.0,1
4,7,22,3,41,19.42,41.59,1
5,1,17,21,35,26.91,40.82,1
3,0,20,20,45,32.02,49.66,1
5,1,24,9,31,10.63,36.36,1
5,1,29,23,33,22.36,40.22,1
5,2,46,4,55,9.22,55.9,1
4,7,22,3,41,19.42,41.59,1
4,17,14,15,28,14.14,33.62,1
6,24,24,24,31,7.0,39.2,1
5,1,35,14,43,15.26,46.62,1
5,2,27,19,41,22.02,45.19,1
4,16,6,17,30,24.02,44.38,1
4,19,18,19,34,16.0,38.95,1
4,15,16,2,35,23.02,38.08,1
4,21,10,21,30,20.0,36.62,1
5,0,26,23,39,26.42,45.79,1
5,1,46,15,38,16.12,48.38,1
2,0,25,14,26,14.04,48.38,1
4,20,15,20,40,25.0,53.85,1
4,22,15,23,33,18.03,40.22,1
4,10,11,10,32,21.0,55.9,1
4,24,20,1,38,29.21,44.94,1
3,0,19,2,43,24.08,53.85,1
6,9,24,17,26,8.25,32.2,1
5,1,48,21,40,21.54,52.39,1
3,0,19,0,40,21.0,49.74,1
6,14,30,25,24,12.53,39.05,1
4,7,24,5,37,13.15,37.66,1
4,9,17,5,37,20.4,38.08,1
3,0,25,2,43,18.11,49.24,1
5,0,26,14,30,14.56,39.05,1
3,0,22,2,45,23.09,56.46,1
5,1,34,19,41,19.31,45.19,1
3,0,21,14,38,22.02,44.94,1
4,22,6,24,13,7.28,49.24,1
2,0,24,23,27,23.19,47.01,1
3,0,25,1,41,16.03,44.38,1
4,17,25,19,41,16.12,45.19,1
3,0,25,1,41,16.03,44.38,1
6,8,35,8,29,6.0,35.9,1
1,20,0,21,26,26.02,52.39,1
4,19,8,8,42,35.74,46.1,1
5,1,41,4,48,7.62,52.39,1
6,9,43,24,40,15.3,49.74,1
4,23,12,14,47,36.14,52.33,1
4,18,12,14,32,20.4,36.72,1
6,14,52,20,36,17.09,56.46,1
4,22,15,20,36,21.1,56.46,1
6,4,37,19,31,16.16,42.06,1
5,0,31,5,37,7.81,37.66,1
5,1,24,9,31,10.63,36.36,1
3,0,22,2,46,24.08,60.84,1
6,17,29,17,30,1.0,34.99,1
6,3,35,15,24,16.28,38.08,1
4,23,21,24,31,10.05,39.2,1
3,0,24,1,48,24.02,52.39,1
6,13,55,26,29,29.07,60.84,1
4,25,17,24,40,23.02,49.74,1
3,0,22,14,47,28.65,52.33,1
4,18,12,14,32,20.4,36.72,1
5,2,27,8,35,10.0,35.9,1
6,13,29,15,28,2.24,33.62,1
6,10,42,12,24,18.11,43.68,1
5,2,46,13,55,14.21,60.84,1
5,2,48,8,56,10.0,58.82,1
3,0,11,14,31,24.41,40.46,1
3,0,20,8,42,23.41,46.1,1
5,2,46,13,55,14.21,60.84,1
4,10,16,12,24,8.25,43.68,1
5,2,35,7,24,12.08,35.9,1
4,18,14,16,33,19.1,46.62,1
6,12,50,20,40,12.81,53.85,1
3,0,21,2,31,10.2,53.31,1
4,22,14,24,21,7.28,35.38,1
4,20,11,22,22,11.18,43.05,1
3,0,24,2,34,10.2,49.74,1
4,24,23,14,38,18.03,44.94,1
5,2,27,19,41,22.02,45.19,1
2,0,17,24,20,24.19,44.94,1
6,21,46,27,18,28.64,53.34,1
2,0,24,23,27,23.19,47.01,1
3,0,21,14,32,17.8,35.34,1
3,0,20,3,41,21.21,41.59,1
6,14,43,16,33,10.2,46.62,1
3,0,20,3,41,21.21,41.59,1
2,0,25,22,6,29.07,49.24,1
2,0,24,18,24,18.0,58.82,1
2,0,19,25,20,25.02,49.74,1
2,0,20,21,14,21.84,49.66,1
2,0,17,25,10,25.96,53.34,1
2,0,19,20,15,20.4,53.85,1
3,0,19,1,35,16.03,46.62,1
2,0,22,25,9,28.18,60.84,1
5,2,29,4,37,8.25,42.06,1
3,0,22,14,47,28.65,52.33,1
3,0,19,1,35,16.03,46.62,1
6,6,40,12,21,19.92,41.76,1
1,23,0,25,20,20.1,49.74,1
5,2,34,9,43,11.4,49.74,1
6,4,37,19,31,16.16,42.06,1
3,0,20,8,38,19.7,40.85,1
5,2,31,21,49,26.17,53.31,1
5,2,31,9,32,7.07,33.24,1
5,1,33,8,20,14.76,33.96,1
6,8,56,16,39,18.79,58.82,1
2,0,21,24,23,24.08,44.94,1
4,22,15,23,33,18.03,40.22,1
2,0,21,21,25,21.38,53.31,1
6,9,24,17,26,8.25,32.2,1
3,0,17,2,37,20.1,53.34,1
5,0,34,26,30,26.31,42.8,1
2,0,22,25,9,28.18,60.84,1
4,21,14,20,45,31.02,49.66,1
4,19,8,10,32,25.63,37.22,1
4,27,13,27,24,11.0,36.12,1
3,0,18,2,37,19.1,43.68,1
3,0,25,1,46,21.02,48.38,1
3,0,21,2,31,10.2,53.31,1
4,25,18,25,40,22.0,47.17,1
4,24,14,23,39,25.02,45.79,1
5,1,21,18,25,17.46,32.02,1
4,21,25,21,49,24.0,53.31,1
3,0,15,23,26,25.5,37.48,1
6,8,56,16,39,18.79,58.82,1
4,9,9,8,30,21.02,51.79,1
5,0,33,21,41,22.47,47.01,1
4,21,26,19,40,14.14,52.39,1
6,6,42,23,43,17.03,49.74,1
6,6,28,12,28,6.0,30.46,1
5,1,34,14,38,13.6,40.5,1
3,0,19,2,39,20.1,42.54,1
5,1,31,9,26,9.43,32.57,1
5,2,38,5,43,5.83,44.64,1
5,0,33,1,33,1.0,47.17,1
1,22,0,24,23,23.09,44.94,1
4,18,16,19,41,25.02,45.19,1
4,25,9,26,29,20.02,60.84,1
4,26,18,26,30,12.0,42.8,1
1,23,0,25,20,20.1,49.74,1
6,20,35,25,29,7.81,43.01,1
6,1,33,25,40,25.0,47.17,1
2,0,24,20,16,21.54,52.39,1
4,19,8,10,32,25.63,37.22,1
5,1,28,3,35,7.28,38.08,1
3,0,21,8,46,26.25,47.07,1
4,20,14,19,31,17.03,42.06,1
4,25,12,25,29,17.0,43.01,1
4,16,6,17,30,24.02,44.38,1
5,1,35,2,37,2.24,37.66,1
2,0,47,12,39,14.42,48.51,2
1,0,35,2,52,17.12,56.86,2
3,10,43,19,37,10.82,51.62,2
3,10,49,15,44,7.07,53.16,2
2,1,57,21,43,24.41,60.75,2
1,0,38,2,57,19.1,62.24,2
3,17,37,17,23,14.0,50.92,2
1,0,32,1,55,23.02,57.28,2
2,2,49,29,45,27.29,61.4,2
3,18,43,18,36,7.0,53.14,2
2,2,55,12,49,11.66,60.42,2
4,14,40,14,31,9.0,49.04,2
1,0,28,0,53,25.0,58.6,2
4,20,47,14,40,9.22,63.25,2
3,22,30,29,21,11.4,45.45,2
5,14,34,0,26,16.12,58.24,2
4,16,42,14,34,8.25,58.24,2
3,10,41,15,37,6.4,46.49,2
5,35,30,22,24,14.32,65.19,2
2,1,49,20,43,19.92,53.71,2
2,1,48,16,42,16.16,56.08,2
4,16,42,14,34,8.25,58.24,2
3,15,47,25,39,12.81,60.42,2
3,21,42,25,31,11.7,58.6,2
4,35,41,35,28,13.0,61.85,2
2,2,45,19,36,19.24,48.85,2
6,10,35,0,31,10.77,55.54,2
5,25,34,16,28,10.82,62.24,2
3,16,53,25,47,10.82,62.24,2
3,10,49,11,42,7.07,51.2,2
2,2,47,14,41,13.42,49.65,2
3,32,34,32,21,13.0,56.04,2
3,15,47,25,39,12.81,60.42,2
3,17,39,17,26,13.0,52.81,2
3,7,45,14,40,8.6,49.04,2
3,19,36,19,26,10.0,48.85,2
2,1,54,15,48,15.23,56.04,2
2,2,49,29,45,27.29,61.4,2
1,0,28,1,52,24.02,62.13,2
4,19,37,19,27,10.0,48.85,2
4,23,31,21,20,11.18,56.86,2
2,2,50,10,49,8.06,51.2,2
3,17,42,32,32,18.03,59.36,2
2,1,55,15,47,16.12,60.42,2
2,0,48,14,41,15.65,50.0,2
3,10,43,10,36,7.0,50.01,2
4,25,31,21,18,13.6,58.6,2
5,22,28,8,22,15.23,53.71,2
3,11,42,24,37,13.93,50.12,2
4,22,34,22,21,13.0,50.09,2
4,17,40,17,29,11.0,50.92,2
5,14,40,0,32,16.12,63.25,2
1,0,39,2,55,16.12,60.42,2
3,10,44,22,38,13.42,52.8,2
5,35,28,10,22,25.71,61.85,2
3,19,47,19,40,7.0,55.36,2
2,1,63,24,48,27.46,69.35,2
1,0,35,1,58,23.02,61.03,2
2,2,52,21,44,20.62,56.86,2
4,18,36,0,29,19.31,53.14,2
2,1,47,8,45,7.28,49.98,2
2,1,55,14,51,13.6,57.28,2
6,16,28,0,22,17.09,62.24,2
2,1,53,12,47,12.53,54.34,2
2,1,48,10,44,9.85,52.8,2
3,10,49,15,44,7.07,53.16,2
1,0,28,0,53,25.0,58.6,2
2,2,55,21,42,23.02,60.42,2
1,0,30,0,55,25.0,65.19,2
3,26,46,27,38,8.06,57.71,2
3,20,43,22,36,7.28,53.71,2
3,7,45,14,40,8.6,49.04,2
2,0,47,10,40,12.21,48.05,2
3,21,39,21,27,12.0,53.31,2
3,34,43,34,30,13.0,62.13,2
4,19,40,0,33,20.25,55.36,2
2,0,45,33,35,34.48,55.8,2
5,13,39,10,35,5.0,55.54,2
3,16,53,25,47,10.82,62.24,2
2,0,50,17,39,20.25,52.81,2
2,1,45,10,41,9.85,50.09,2
1,0,39,2,60,21.1,63.25,2
3,12,42,12,33,9.0,49.48,2
3,10,47,35,41,25.71,61.85,2
1,0,37,1,53,16.03,54.34,2
2,0,45,33,35,34.48,55.8,2
4,22,36,22,21,15.0,53.71,2
3,20,36,26,25,12.53,50.25,2
3,17,42,32,32,18.03,59.36,2
2,2,48,8,46,6.32,50.92,2
1,0,37,0,61,24.0,67.54,2
4,26,32,0,17,30.02,64.47,2
2,1,48,10,44,9.85,52.8,2
3,15,48,15,39,9.0,56.04,2
2,2,55,12,49,11.66,60.42,2
3,12,42,12,33,9.0,49.48,2
4,19,37,19,24,13.0,51.62,2
5,14,34,0,26,16.12,58.24,2
1,0,37,1,54,17.03,56.04,2
3,8,45,17,39,10.82,49.98,2
4,35,43,35,30,13.0,65.19,2
4,11,42,10,37,5.1,51.2,2
3,14,51,16,42,9.22,57.28,2
4,20,45,20,36,9.0,55.71,2
2,2,52,19,49,17.26,55.71,2
2,2,52,21,44,20.62,56.86,2
2,0,50,10,44,11.66,50.99,2
4,17,39,17,28,11.0,49.98,2
3,21,42,25,31,11.7,58.6,2
2,0,59,26,47,28.64,64.47,2
3,20,36,26,25,12.53,50.25,2
2,2,49,14,43,13.42,56.94,2
4,23,37,23,22,15.0,54.13,2
5,25,24,12,16,15.26,60.42,2
1,0,36,1,51,15.03,57.71,2
4,19,37,19,27,10.0,48.85,2
5,35,30,22,24,14.32,65.19,2
1,0,39,2,55,16.12,60.42,2
4,32,32,17,22,18.03,59.36,2
3,17,42,19,37,5.39,48.85,2
2,1,63,24,48,27.46,69.35,2
3,24,48,29,35,13.93,67.54,2
1,0,34,1,56,22.02,58.24,2
3,12,47,12,39,8.0,54.34,2
2,1,55,15,47,16.12,60.42,2
2,2,51,10,47,8.94,61.85,2
