V1,V2,V3,V4,V5,V6,V7,Class
0,0,0,0,7,7.0,25.0,1
2,0,17,26,18,26.02,42.8,1
5,1,29,23,33,22.36,40.22,1
1,18,0,19,11,11.05,26.25,1
4,9,9,8,30,21.02,51.79,1
4,10,16,12,24,8.25,43.68,1
5,1,32,22,31,21.02,38.83,1
4,6,13,2,30,17.46,30.59,1
3,0,7,2,22,15.13,34.99,1
3,0,13,0,21,8.0,25.24,1
0,0,0,0,10,10.0,30.87,1
2,0,24,21,26,21.1,52.39,1
6,14,52,20,36,17.09,56.46,1
0,0,0,0,11,11.0,26.63,1
6,2,24,7,24,5.0,25.0,1
2,0,24,21,26,21.1,52.39,1
5,1,18,9,24,10.0,32.2,1
6,3,35,15,24,16.28,38.08,1
4,10,11,10,32,21.0,55.9,1
5,2,35,15,38,13.34,40.85,1
2,0,17,15,17,15.0,38.08,1
4,19,18,19,34,16.0,38.95,1
5,2,37,2,38,1.0,38.83,1
0,0,0,0,17,17.0,38.08,1
5,2,38,5,43,5.83,44.64,1
5,1,28,3,35,7.28,38.08,1
4,14,17,15,38,21.02,40.85,1
0,0,0,0,18,18.0,32.89,1
2,0,17,9,17,9.0,38.08,1
0,0,0,0,11,11.0,32.2,1
4,25,9,26,29,20.02,60.84,1
2,0,19,7,24,8.6,37.66,1
1,8,0,8,14,14.0,39.81,1
4,25,17,24,40,23.02,49.74,1
0,0,0,0,10,10.0,45.79,1
4,15,14,2,22,15.26,26.63,1
5,1,48,21,40,21.54,52.39,1
4,22,15,20,36,21.1,56.46,1
5,2,46,13,55,14.21,60.84,1
2,0,10,17,14,17.46,33.62,1
5,0,33,1,33,1.0,47.17,1
3,0,18,2,37,19.1,43.68,1
4,23,27,21,41,14.14,47.01,1
5,1,24,9,31,10.63,36.36,1
0,0,0,0,19,19.0,37.66,1
3,0,16,1,31,15.03,32.57,1
3,0,21,8,46,26.25,47.07,1
4,8,14,3,39,25.5,39.81,1
2,0,12,7,7,8.6,37.66,1
5,0,33,21,41,22.47,47.01,1
0,0,0,0,20,20.0,41.59,1
4,21,25,21,49,24.0,53.31,1
2,0,19,19,18,19.03,38.95,1
3,0,14,3,39,25.18,39.81,1
1,10,0,10,7,7.0,26.0,1
1,7,0,8,18,18.03,33.24,1
