V1,V2,V3,V4,V5,V6,V7,Class
0,0,0,0,20,20.0,45.19,1
1,8,0,10,15,15.13,32.57,1
1,6,0,6,7,7.0,25.0,1
0,0,0,0,18,18.0,44.64,1
0,0,0,0,8,8.0,40.82,1
0,0,0,0,18,18.0,29.55,1
0,0,0,0,12,12.0,37.66,1
0,0,0,0,19,19.0,33.53,1
0,0,0,0,13,13.0,27.46,1
0,0,0,0,14,14.0,39.81,1
0,0,0,0,9,9.0,30.46,1
0,0,0,0,7,7.0,38.83,1
0,0,0,0,12,12.0,30.41,1
1,12,0,13,7,7.07,30.87,1
0,0,0,0,14,14.0,34.21,1
0,0,0,0,13,13.0,33.96,1
0,0,0,0,19,19.0,38.83,1
1,15,0,15,14,14.0,26.63,1
0,0,0,0,7,7.0,26.25,1
0,0,0,0,22,22.0,42.06,1
0,0,0,0,10,10.0,36.12,1
2,0,12,12,6,13.42,26.83,1
0,0,0,0,16,16.0,32.57,1
2,0,13,8,10,8.54,35.9,1
0,0,0,0,16,16.0,47.17,1
3,0,6,2,12,6.32,36.62,1
1,7,0,8,18,18.03,33.24,1
1,12,0,13,11,11.05,37.16,1
2,0,7,6,7,6.0,25.0,1
0,0,0,0,12,12.0,33.11,1
0,0,0,0,17,17.0,38.08,1
0,0,0,0,6,6.0,36.62,1
1,9,0,11,12,12.17,32.89,1
1,10,0,10,7,7.0,30.46,1
1,8,0,9,9,9.06,28.46,1
0,0,0,0,19,19.0,49.74,1
0,0,0,0,13,13.0,37.16,1
0,0,0,0,20,20.0,40.85,1
2,0,14,7,12,7.28,21.19,1
0,0,0,0,8,8.0,35.9,1
1,8,0,9,18,18.03,34.21,1
0,0,0,0,11,11.0,28.46,1
0,0,0,0,13,13.0,40.85,1
0,0,0,0,17,17.0,44.94,1
0,0,0,0,18,18.0,43.01,1
0,0,0,0,6,6.0,32.02,1
0,0,0,0,13,13.0,33.96,1
0,0,0,0,11,11.0,32.2,1
3,0,15,1,23,8.06,25.5,1
0,0,0,0,21,21.0,47.07,1
0,0,0,0,24,24.0,33.24,1
1,13,0,15,10,10.2,27.46,1
0,0,0,0,18,18.0,32.89,1
0,0,0,0,10,10.0,45.79,1
0,0,0,0,14,14.0,21.19,1
2,0,11,9,9,9.22,28.46,1
0,0,0,0,7,7.0,26.25,1
0,0,0,0,14,14.0,33.24,1
0,0,0,0,18,18.0,44.64,1
1,8,0,9,18,18.03,34.21,1
0,0,0,0,17,17.0,29.53,1
0,0,0,0,20,20.0,41.59,1
0,0,0,0,18,18.0,29.55,1
3,0,6,1,13,7.07,26.0,1
1,6,0,8,11,11.18,35.9,1
2,0,9,10,7,10.2,30.46,1
2,0,10,13,7,13.34,30.87,1
3,0,7,2,15,8.25,40.0,1
0,0,0,0,21,21.0,45.19,1
1,19,0,20,10,10.05,32.02,1
0,0,0,0,10,10.0,36.36,1
3,0,7,0,16,9.0,26.25,1
0,0,0,0,17,17.0,42.8,1
1,7,0,8,15,15.03,30.08,1
1,9,0,11,18,18.11,25.5,1
0,0,0,0,19,19.0,42.54,1
0,0,0,0,10,10.0,37.22,1
1,10,0,12,18,18.11,29.55,1
1,9,0,10,13,13.04,33.53,1
1,10,0,10,7,7.0,30.46,1
0,0,0,0,11,11.0,40.46,1
0,0,0,0,15,15.0,37.48,1
0,0,0,0,20,20.0,41.59,1
0,0,0,0,10,10.0,32.53,1
0,0,0,0,7,7.0,38.6,1
1,12,0,12,8,8.0,33.24,1
0,0,0,0,17,17.0,38.08,1
1,13,0,15,10,10.2,27.46,1
0,0,0,0,14,14.0,33.24,1
1,19,0,20,10,10.05,32.02,1
0,0,0,0,16,16.0,39.2,1
0,0,0,0,17,17.0,42.8,1
0,0,0,0,11,11.0,35.38,1
0,0,0,0,12,12.0,30.41,1
1,10,0,12,6,6.32,26.83,1
1,8,0,8,10,10.0,35.9,1
3,0,11,2,22,11.18,26.63,1
1,12,0,12,8,8.0,33.24,1
3,0,13,0,21,8.0,25.24,1
0,0,0,0,20,20.0,43.05,1
0,0,0,0,7,7.0,40.0,1
1,18,0,19,11,11.05,26.25,1
1,10,0,10,7,7.0,26.0,1
0,0,0,0,19,19.0,38.95,1
0,0,0,0,10,10.0,33.62,1
2,0,13,8,11,8.25,33.96,1
0,0,0,0,7,7.0,40.0,1
0,0,0,0,7,7.0,38.83,1
1,8,0,9,9,9.06,28.46,1
0,0,0,0,10,10.0,30.87,1
1,14,0,14,12,12.0,30.41,1
2,0,14,7,12,7.28,21.19,1
0,0,0,0,12,12.0,26.83,1
3,0,7,1,24,17.03,25.0,1
0,0,0,0,15,15.0,37.48,1
0,0,0,0,10,10.0,33.62,1
1,6,0,6,13,13.0,30.59,1
0,0,0,0,9,9.0,30.46,1
0,0,0,0,21,21.0,44.94,1
0,0,0,0,13,13.0,40.85,1
2,0,13,14,12,14.04,25.24,1
2,0,11,9,9,9.22,28.46,1
1,18,0,19,11,11.05,26.25,1
1,7,0,8,18,18.03,33.24,1
0,0,0,0,13,13.0,25.24,1
2,0,13,8,15,8.25,30.08,1
0,0,0,0,17,17.0,38.08,1
0,0,0,0,6,6.0,32.02,1
2,0,13,14,12,14.04,25.24,1
3,0,6,1,21,15.03,32.02,1
0,0,0,0,14,14.0,38.08,1
2,0,12,7,7,8.6,37.66,1
3,0,7,0,16,9.0,26.25,1
0,0,0,0,12,12.0,40.5,1
2,0,9,10,7,10.2,30.46,1
0,0,0,0,12,12.0,36.72,1
3,0,12,2,19,7.28,26.83,1
3,0,13,3,23,10.44,27.46,1
0,0,0,0,14,14.0,34.21,1
0,0,0,0,20,20.0,46.1,1
0,0,0,0,20,20.0,40.85,1
0,0,0,0,11,11.0,32.2,1
0,0,0,0,19,19.0,37.66,1
0,0,0,0,6,6.0,26.0,1
0,0,0,0,24,24.0,33.24,1
2,0,10,13,7,13.34,30.87,1
0,0,0,0,11,11.0,35.38,1
2,0,8,8,11,8.54,35.9,1
0,0,0,0,15,15.0,25.5,1
1,8,0,8,14,14.0,39.81,1
0,0,0,0,21,21.0,35.34,1
1,12,0,13,7,7.07,30.87,1
1,8,0,8,14,14.0,39.81,1
0,0,0,0,14,14.0,41.34,1
1,14,0,14,12,12.0,25.24,1
3,0,14,5,20,7.81,21.19,1
1,7,0,7,7,7.0,37.66,1
0,0,0,0,12,12.0,37.66,1
0,0,0,0,19,19.0,46.62,1
0,0,0,0,6,6.0,26.0,1
0,0,0,0,8,8.0,35.9,1
0,0,0,0,10,10.0,37.22,1
0,0,0,0,7,7.0,34.99,1
0,0,0,0,18,18.0,43.01,1
0,0,0,0,17,17.0,38.08,1
0,0,0,0,10,10.0,30.87,1
0,0,0,0,11,11.0,28.46,1
0,0,0,0,13,13.0,37.16,1
0,0,0,0,20,20.0,46.1,1
