V1,V2,V3,V4,V5,V6,V7,Class
3,14,23,15,15,11.908233496441735,31.53550224472692,5
4,13,34,35,43,26.758233496441736,52.39550224472692,4
5,21,47,22,36,14.908233496441735,56.45550224472692,2
2,4,24,6,36,15.948233496441734,45.84550224472692,7
3,5,55,15,51,13.758233496441735,58.33550224472692,2
1,39,7,19,19,28.098233496441736,67.73550224472693,8
4,14,17,14,12,9.008233496441735,28.795502244726922,5
5,20,7,23,15,12.158233496441735,37.155502244726925,8
2,4,16,5,25,12.908233496441735,35.99550224472692,4
6,28,25,28,19,9.988233496441735,53.04550224472692,3
1,4,7,5,23,19.908233496441735,52.06550224472692,6
4,18,63,25,54,14.728233496441735,68.78550224472693,2
6,21,7,20,15,12.158233496441735,44.00550224472692,8
6,13,7,14,15,11.908233496441735,26.12550224472692,8
3,5,38,11,38,8.908233496441735,39.15550224472692,2
5,21,22,22,38,19.908233496441735,47.16550224472692,9
5,11,32,29,37,21.628233496441734,45.23550224472692,8
1,4,7,5,16,12.908233496441735,46.57550224472692,9
2,4,13,7,32,23.008233496441736,40.91550224472692,6
1,4,7,5,38,34.90823349644173,58.34550224472692,2
2,12,13,5,20,14.538233496441736,37.73550224472692,8
3,11,31,19,26,12.508233496441735,36.835502244726925,5
3,6,47,19,38,18.908233496441735,47.91550224472692,2
7,23,18,17,18,10.908233496441735,41.04550224472692,8
4,23,7,24,14,10.908233496441735,46.71550224472692,8
4,5,34,23,43,23.148233496441733,46.24550224472692,8
4,9,34,12,32,6.738233496441735,34.39550224472692,3
1,19,7,5,12,19.718233496441734,30.37550224472692,8
4,4,36,30,36,28.908233496441735,43.82550224472692,6
7,4,15,22,7,22.698233496441734,48.99550224472692,3
4,6,45,27,46,23.928233496441734,57.27550224472692,6
3,4,25,25,27,24.008233496441736,41.14550224472692,6
2,5,13,5,19,9.988233496441735,48.02550224472692,4
6,12,29,9,27,8.378233496441734,33.695502244726924,2
3,4,19,16,17,15.088233496441735,29.385502244726922,6
6,5,36,28,40,26.268233496441734,45.75550224472692,1
4,18,44,40,57,28.608233496441734,67.73550224472693,8
4,5,36,16,38,14.108233496441734,38.77550224472692,7
3,4,54,17,46,18.328233496441733,54.04550224472692,2
3,4,25,12,27,11.188233496441734,56.52550224472692,7
3,4,28,22,19,23.148233496441733,54.00550224472692,9
7,8,25,5,23,8.378233496441734,34.655502244726925,2
2,28,7,30,24,20.938233496441736,55.27550224472692,1
5,18,29,5,18,21.708233496441736,49.805502244726924,2
3,4,30,21,30,19.908233496441735,56.93550224472692,7
6,6,41,20,37,17.508233496441733,42.69550224472692,1
7,18,37,30,31,16.438233496441732,44.58550224472692,1
4,4,32,6,50,21.938233496441736,55.27550224472692,9
2,4,19,5,31,15.908233496441735,55.055502244726924,4
7,30,18,5,13,30.388233496441735,50.22550224472692,3
3,4,20,19,19,17.948233496441734,30.77550224472692,1
2,28,7,30,19,15.948233496441734,48.54550224472692,1
3,4,20,15,26,15.568233496441735,40.24550224472692,8
3,4,27,32,29,30.978233496441735,51.33550224472692,6
4,4,28,13,33,13.338233496441735,41.31550224472692,4
1,4,7,5,37,33.90823349644173,70.72550224472693,2
3,5,57,22,49,21.798233496441735,64.89550224472693,2
3,4,29,37,29,35.90823349644173,52.95550224472692,7
6,4,41,31,37,30.218233496441734,48.33550224472692,1
4,34,23,25,15,16.718233496441734,48.67550224472692,5
5,19,17,8,30,21.598233496441736,32.99550224472692,1
2,4,21,6,45,27.928233496441734,52.18550224472692,7
1,4,7,5,30,26.908233496441735,47.73550224472692,9
3,24,31,35,23,16.718233496441734,48.67550224472692,5
4,14,37,15,32,8.908233496441735,38.10550224472692,2
4,11,45,14,42,7.518233496441734,48.48550224472692,2
1,4,7,5,46,42.90823349644173,74.13550224472692,2
1,4,7,6,33,29.928233496441734,41.93550224472692,3
2,17,15,5,23,19.168233496441733,47.40550224472692,4
4,20,28,21,17,14.908233496441735,41.31550224472692,5
3,4,33,22,45,24.718233496441734,48.02550224472692,8
4,4,25,5,38,16.908233496441735,54.38550224472692,9
3,4,27,23,19,23.608233496441734,52.055502244726924,9
1,4,7,5,24,20.908233496441735,58.875502244726924,1
2,4,13,7,38,28.988233496441733,40.64550224472692,7
4,4,29,20,29,18.908233496441735,33.335502244726925,7
4,14,17,14,12,9.008233496441735,28.795502244726922,5
1,4,7,5,13,9.908233496441735,39.15550224472692,9
7,12,29,5,23,13.908233496441735,55.51550224472692,2
3,4,24,18,24,16.908233496441735,41.93550224472692,9
4,5,25,13,26,10.978233496441735,27.00550224472692,7
2,10,12,5,17,11.718233496441734,41.04550224472692,8
6,6,38,25,42,22.348233496441736,48.54550224472692,1
3,4,33,22,45,24.718233496441734,48.02550224472692,8
5,13,42,12,37,9.298233496441734,48.48550224472692,2
7,9,29,14,31,8.378233496441734,31.53550224472692,1
1,4,7,5,27,23.908233496441735,39.07550224472692,3
3,4,28,22,19,23.148233496441733,54.00550224472692,9
1,4,7,6,37,33.928233496441734,52.54550224472692,3
7,11,21,5,17,11.968233496441735,45.19550224472692,3
4,4,27,6,41,17.948233496441734,50.72550224472692,1
2,12,7,14,17,13.958233496441736,41.67550224472692,9
1,4,7,5,31,27.908233496441735,38.77550224472692,1
3,5,47,12,45,10.228233496441735,53.24550224472692,3
3,4,51,16,49,15.088233496441735,55.65550224472692,2
6,14,39,5,33,15.568233496441735,57.19550224472692,3
2,6,14,5,21,11.188233496441734,36.835502244726925,4
5,4,7,31,8,29.928233496441734,45.23550224472692,6
2,4,23,6,33,13.958233496441736,36.59550224472692,10
2,4,40,6,52,15.948233496441734,55.625502244726924,2
2,4,29,7,46,21.028233496441736,51.85550224472692,7
5,4,7,17,8,15.948233496441734,35.21550224472692,6
1,4,7,5,27,23.908233496441735,57.73550224472692,7
4,5,38,25,39,22.938233496441736,43.27550224472692,7
2,19,7,21,25,21.938233496441736,42.20550224472692,9
2,4,15,5,33,21.908233496441735,36.835502244726925,7
4,4,15,6,39,27.928233496441734,43.17550224472692,9
5,7,37,26,43,22.878233496441734,47.21550224472692,4
2,4,29,5,52,26.908233496441735,54.38550224472692,2
3,4,24,31,25,29.928233496441734,48.33550224472692,1
4,25,49,30,36,17.508233496441733,61.43550224472692,3
3,4,14,19,12,18.048233496441735,47.40550224472692,6
2,12,7,13,14,10.908233496441735,44.36550224472692,1
4,21,40,22,27,16.908233496441735,55.19550224472692,3
1,16,7,5,16,18.908233496441735,35.99550224472692,4
5,21,32,19,23,13.398233496441735,48.99550224472692,3
3,4,11,5,16,8.908233496441735,22.17550224472692,8
1,4,7,5,19,15.908233496441735,31.03550224472692,10
1,13,7,6,10,12.448233496441734,26.12550224472692,8
5,4,7,22,8,20.938233496441736,36.59550224472692,6
2,23,7,26,21,18.048233496441735,55.19550224472692,1
6,42,16,39,16,7.908233496441735,65.20550224472693,8
3,4,21,14,28,15.308233496441735,41.77550224472692,8
4,4,36,15,43,16.118233496441736,56.64550224472692,8
2,4,21,5,27,9.908233496441735,29.705502244726922,7
4,34,41,35,30,14.908233496441735,57.96550224472692,3
2,4,19,6,42,26.928233496441734,44.44550224472692,7
1,4,7,5,16,12.908233496441735,23.42550224472692,7
3,4,17,20,23,20.068233496441735,30.37550224472692,8
3,4,57,22,45,24.718233496441734,58.67550224472692,3
2,6,46,15,41,13.338233496441735,49.82550224472692,5
1,4,7,5,41,37.90823349644173,60.89550224472692,2
2,4,44,5,62,21.908233496441735,65.54550224472692,3
4,21,41,22,27,17.908233496441735,55.51550224472692,2
4,21,20,5,7,25.308233496441733,48.07550224472692,5
1,4,7,5,25,21.908233496441735,53.33550224472692,7
1,4,7,5,13,9.908233496441735,31.53550224472692,1
5,12,21,13,44,26.908233496441735,43.38550224472692,9
2,29,15,5,23,30.158233496441735,70.83550224472692,8
5,12,18,13,27,12.908233496441735,39.49550224472692,1
3,4,17,15,18,13.958233496441736,27.46550224472692,6
1,25,7,14,14,17.798233496441735,41.77550224472692,8
4,4,25,12,38,18.668233496441733,38.42550224472692,1
1,4,7,5,13,9.908233496441735,39.59550224472692,6
2,18,7,19,19,15.908233496441735,35.945502244726924,1
7,24,15,19,15,9.908233496441735,32.445502244726924,8
3,4,15,5,22,10.908233496441735,30.59550224472692,8
2,29,7,31,18,14.958233496441736,45.99550224472692,1
6,17,46,15,42,8.908233496441735,61.07550224472692,2
4,13,41,14,34,10.908233496441735,44.58550224472692,2
6,6,53,9,62,13.128233496441736,61.43550224472692,1
1,4,7,5,32,28.908233496441735,39.15550224472692,2
3,4,32,25,32,23.908233496441735,66.36550224472693,6
1,4,7,5,41,37.90823349644173,52.95550224472692,2
5,11,31,19,35,11.968233496441735,36.835502244726925,4
1,4,7,5,28,24.908233496441735,52.60550224472692,1
5,20,23,5,13,22.778233496441736,44.01550224472692,2
1,4,7,7,43,39.968233496441734,67.27550224472692,3
1,4,7,5,14,10.908233496441735,36.59550224472692,6
1,4,7,5,46,42.90823349644173,61.24550224472692,2
4,4,31,7,37,10.228233496441735,45.78550224472692,4
3,4,16,15,14,14.108233496441734,35.99550224472692,1
2,4,26,7,33,11.188233496441734,32.46550224472692,10
6,41,29,34,21,15.218233496441735,66.93550224472692,2
5,7,41,5,38,8.148233496441735,45.64550224472692,2
5,16,21,18,33,15.948233496441734,34.60550224472692,9
3,14,23,21,20,10.618233496441734,31.93550224472692,5
6,10,7,13,16,13.128233496441736,21.15550224472692,8
3,4,7,13,7,11.908233496441735,36.585502244726925,10
2,5,35,12,31,11.118233496441734,36.835502244726925,5
4,4,37,29,36,27.928233496441734,43.95550224472692,6
5,14,20,15,39,22.908233496441735,39.06550224472692,1
3,4,46,15,40,15.568233496441735,45.79550224472692,2
5,28,32,5,13,34.51823349644173,72.65550224472693,3
3,4,31,21,43,23.908233496441735,44.93550224472692,4
1,4,7,5,39,35.90823349644173,54.57550224472692,2
3,5,60,17,54,16.438233496441732,59.875502244726924,2
1,4,7,5,15,11.908233496441735,29.30550224472692,7
2,13,7,16,20,17.058233496441733,43.17550224472692,9
1,4,7,5,19,15.908233496441735,33.125502244726924,10
2,4,15,6,26,14.958233496441736,28.00550224472692,10
5,28,38,39,45,16.118233496441736,56.52550224472692,4
